BLOCO;UNIDADE;"ÁREA PRIVATIVA";GARAGEM;DEPÓSITO;TIPOLOGIA;SITUAÇÃO;"VALOR TOTAL";"ATO (1x)
25/06/2026";"FINANCIAMENTO BANCÁRIO (1x)
25/06/2026"
1-SUN;101-SUN;"79,140 m²";"G10 Esp Coberta";HB12;"2D (2 S)";Vendida;"R$ 952.385,31";"R$ 380.954,12";"R$ 571.431,19"
1-SUN;102-SUN;"76,580 m²";"G30 Esp Coberta";HB26;"2D (2 S)";Vendida;"R$ 1.027.473,07";"R$ 410.989,23";"R$ 616.483,84"
1-SUN;103-SUN;"71,730 m²";"G53/G53A Dupla Desc";HB07;"2D (1 S)";Disponível;"R$ 866.132,61";"R$ 346.453,04";"R$ 519.679,57"
1-SUN;104-SUN;"73,000 m²";"G82/G82A Cob/Descob";HB67;"2D (1 S)";Vendida;"R$ 805.514,54";"R$ 322.205,82";"R$ 483.308,72"
1-SUN;105-SUN;"73,690 m²";"G91 Esp Semicoberta";HB77;"2D (2 S)";Vendida;"R$ 800.638,04";"R$ 320.255,22";"R$ 480.382,82"
1-SUN;106-SUN;"75,160 m²";G77-Descoberta;HB69;"2D (1 S)";Disponível;"R$ 849.569,03";"R$ 339.827,61";"R$ 509.741,42"
1-SUN;201-SUN;"79,140 m²";"G63 Simples Coberta";HB58;"2D (2 S)";Vendida;"R$ 949.319,97";"R$ 379.727,99";"R$ 569.591,98"
1-SUN;202-SUN;"76,580 m²";"G25 Esp Coberta";HB25;"2D (2 S)";Vendida;"R$ 864.826,63";"R$ 345.930,65";"R$ 518.895,98"
1-SUN;203-SUN;"71,730 m²";"G52/G52A Dupla Desc";HB08;"2D (1 S)";Vendida;"R$ 875.049,42";"R$ 350.019,77";"R$ 525.029,65"
1-SUN;204-SUN;"73,000 m²";"G44 Esp Coberta";HB42;"2D (1 S)";Vendida;"R$ 813.687,67";"R$ 325.475,07";"R$ 488.212,60"
1-SUN;205-SUN;"73,690 m²";"G87 Esp. Descoberta";HB78;"2D (2 S)";Vendida;"R$ 890.848,73";"R$ 356.339,49";"R$ 534.509,24"
1-SUN;206-SUN;"75,160 m²";"G64 Simples Coberta";HB51;"2D (1 S)";Vendida;"R$ 801.450,44";"R$ 320.580,18";"R$ 480.870,26"
1-SUN;301-SUN;"79,140 m²";"G20 Esp Coberta";HB22;"2D (2 S)";Vendida;"R$ 971.003,92";"R$ 388.401,57";"R$ 582.602,35"
1-SUN;302-SUN;"76,580 m²";"G19 Esp Coberta";HB17;"2D (2 S)";Vendida;"R$ 873.402,09";"R$ 349.360,84";"R$ 524.041,25"
1-SUN;303-SUN;"71,730 m²";"G93  Esp. Descoberta";HB10;"2D (1 S)";Vendida;"R$ 795.412,45";"R$ 318.164,98";"R$ 477.247,47"
1-SUN;304-SUN;"73,000 m²";"G42  Esp Coberta";HB43;"2D (1 S)";Vendida;"R$ 912.746,55";"R$ 365.098,62";"R$ 547.647,93"
1-SUN;305-SUN;"73,690 m²";"G90 Esp Semidescob";HB68;"2D (2 S)";Vendida;"R$ 899.939,74";"R$ 359.975,90";"R$ 539.963,84"
1-SUN;306-SUN;"75,160 m²";"G35 Simples Coberta";HB30;"2D (1 S)";Bloqueada;"R$ 810.862,37";"R$ 324.344,95";"R$ 486.517,42"
1-SUN;401-SUN;"79,140 m²";"G15 Esp Coberta";HB20;"2D (2 S)";Vendida;"R$ 981.478,16";"R$ 392.591,26";"R$ 588.886,90"
1-SUN;402-SUN;"76,580 m²";"G16 Esp Coberta";HB16;"2D (2 S)";Vendida;"R$ 881.359,44";"R$ 352.543,78";"R$ 528.815,66"
1-SUN;403-SUN;"71,730 m²";"G80/G80A Dupla Cob";HB74;"2D (1 S)";Vendida;"R$ 821.133,76";"R$ 328.453,50";"R$ 492.680,26"
1-SUN;404-SUN;"73,000 m²";"G51 Esp Coberta";HB02;"2D (1 S)";Vendida;"R$ 921.823,23";"R$ 368.729,29";"R$ 553.093,94"
1-SUN;405-SUN;"73,690 m²";"G88  Esp. Descoberta";HB80;"2D (2 S)";Disponível;"R$ 909.029,51";"R$ 363.611,80";"R$ 545.417,71"
1-SUN;406-SUN;"75,160 m²";"G48 Simples Coberta";HB05;"2D (1 S)";Bloqueada;"R$ 819.286,26";"R$ 327.714,50";"R$ 491.571,76"
1-SUN;501-SUN;"79,140 m²";"G17 Esp Coberta";HB15;"2D (2 S)";Vendida;"R$ 989.622,54";"R$ 395.849,02";"R$ 593.773,52"
1-SUN;502-SUN;"76,580 m²";"G28 Esp Coberta";HB21;"2D (2 S)";Vendida;"R$ 889.954,84";"R$ 355.981,94";"R$ 533.972,90"
1-SUN;503-SUN;"71,730 m²";"G38  Esp Coberta";HB44;"2D (1 S)";Vendida;"R$ 914.941,32";"R$ 365.976,53";"R$ 548.964,79"
1-SUN;504-SUN;"73,000 m²";"G27  Esp Coberta";HB11;"2D (1 S)";Vendida;"R$ 837.640,75";"R$ 335.056,30";"R$ 502.584,45"
1-SUN;505-SUN;"73,690 m²";"G54 Simples Coberta";HB50;"2D (2 S)";Vendida;"R$ 833.653,14";"R$ 333.461,26";"R$ 500.191,88"
1-SUN;506-SUN;"75,160 m²";"G46 Simples Coberta";HB37;"2D (1 S)";Vendida;"R$ 885.648,69";"R$ 354.259,48";"R$ 531.389,21"
1-SUN;601-SUN;"79,140 m²";"G12  Esp Coberta";HB19;"2D (2 S)";Vendida;"R$ 951.351,26";"R$ 380.540,50";"R$ 570.810,76"
1-SUN;602-SUN;"76,580 m²";"G11  Esp Coberta";HB18;"2D (2 S)";Vendida;"R$ 898.523,13";"R$ 359.409,25";"R$ 539.113,88"
1-SUN;603-SUN;"71,730 m²";"G14/G23 Simples Coberta";HB13;"2D (1 S)";Vendida;"R$ 927.844,89";"R$ 371.137,96";"R$ 556.706,93"
1-SUN;604-SUN;"73,000 m²";"G86/G86A Dupla Cob";HB75;"2D (1 S)";Vendida;"R$ 852.324,49";"R$ 340.929,80";"R$ 511.394,69"
1-SUN;605-SUN;"73,690 m²";"G92 Esp Semicoberta";HB79;"2D (2 S)";Vendida;"R$ 942.914,49";"R$ 377.165,80";"R$ 565.748,69"
1-SUN;606-SUN;"75,160 m²";"G47 Simples Coberta";HB38;"2D (1 S)";Vendida;"R$ 931.871,99";"R$ 372.748,80";"R$ 559.123,19"
1-SUN;701-SUN;"79,140 m²";"G18  Esp Coberta";HB14;"2D (2 S)";Vendida;"R$ 1.008.216,36";"R$ 403.286,54";"R$ 604.929,82"
1-SUN;702-SUN;"76,580 m²";"G34  Esp Coberta";HB31;"2D (2 S)";Vendida;"R$ 907.090,26";"R$ 362.836,10";"R$ 544.254,16"
1-SUN;703-SUN;"71,730 m²";"G76/G76A Cob/Descob";HB66;"2D (1 S)";Vendida;"R$ 932.340,29";"R$ 372.936,12";"R$ 559.404,17"
1-SUN;704-SUN;"73,000 m²";"G40  Esp Coberta";HB39;"2D (1 S)";Vendida;"R$ 853.997,96";"R$ 341.599,18";"R$ 512.398,78"
1-SUN;705-SUN;"73,690 m²";"G29  Esp Coberta";" - - ";"2D (2 S)";Vendida;"R$ 862.562,40";"R$ 345.024,96";"R$ 517.537,44"
1-SUN;706-SUN;"75,160 m²";"G39 Simples Coberta";HB35;"2D (1 S)";Vendida;"R$ 928.489,16";"R$ 371.395,66";"R$ 557.093,50"
1-SUN;801-SUN;"180,130 m²";"G09/G22 E.Cob/S.Cob";HB24;"3D (3 S)";Vendida;"R$ 2.783.183,44";"R$ 1.113.273,38";"R$ 1.669.910,06"
1-SUN;802-SUN;"217,260 m²";"G13/G21 Cob/Esp Cob";HB27;"3D (3 S)";Vendida;"R$ 2.613.966,57";"R$ 1.045.586,63";"R$ 1.568.379,94"
1-SUN;Loja;"499,290 m²";"G1 até G8";" - - ";Loja;Disponível;"R$ 7.056.925,03";"R$ 2.822.770,01";"R$ 4.234.155,02"
2-SHINE;101-SHINE;"73,800 m²";"G85 Simples Coberta";HB73;"2D (1 S)";Vendida;"R$ 798.902,36";"R$ 319.560,94";"R$ 479.341,42"
2-SHINE;102-SHINE;"72,510 m²";"G74  Esp Coberta";HB54;"2D (2 S)";Vendida;"R$ 787.822,75";"R$ 315.129,10";"R$ 472.693,65"
2-SHINE;103-SHINE;"72,550 m²";"G66 Simples Coberta";HB57;"2D (1 S)";Vendida;"R$ 797.092,49";"R$ 318.837,00";"R$ 478.255,49"
2-SHINE;104-SHINE;"75,420 m²";"G59  Simples Coberta";HB47;"2D (2 S)";Vendida;"R$ 844.723,33";"R$ 337.889,33";"R$ 506.834,00"
2-SHINE;105-SHINE;"70,390 m²";"G49 Simples Coberta";HB04;"2D (1 S)";Vendida;"R$ 764.800,27";"R$ 305.920,11";"R$ 458.880,16"
2-SHINE;201-SHINE;"73,800 m²";"G56 Simples Coberta";HB46;"2D (1 S)";Vendida;"R$ 807.285,39";"R$ 322.914,16";"R$ 484.371,23"
2-SHINE;202-SHINE;"72,510 m²";"G71  Esp Coberta";HB55;"2D (2 S)";Vendida;"R$ 808.448,89";"R$ 323.379,56";"R$ 485.069,33"
2-SHINE;203-SHINE;"72,550 m²";"G65 Simples Coberta";HB56;"2D (1 S)";Vendida;"R$ 805.307,34";"R$ 322.122,94";"R$ 483.184,40"
2-SHINE;204-SHINE;"75,420 m²";"G24  Esp Coberta";HB23;"2D (2 S)";Vendida;"R$ 853.297,61";"R$ 341.319,04";"R$ 511.978,57"
2-SHINE;205-SHINE;"70,390 m²";"G50 Simples Coberta";HB03;"2D (1 S)";Vendida;"R$ 781.341,15";"R$ 312.536,46";"R$ 468.804,69"
2-SHINE;301-SHINE;"73,800 m²";"G57 Simples Coberta";HB49;"2D (1 S)";Vendida;"R$ 815.232,10";"R$ 326.092,84";"R$ 489.139,26"
2-SHINE;302-SHINE;"72,510 m²";"G79/G79A Dupla Cob";HB09;"2D (2 S)";Vendida;"R$ 809.963,28";"R$ 323.985,31";"R$ 485.977,97"
2-SHINE;303-SHINE;"72,550 m²";"G60 Simples Coberta";HB48;"2D (1 S)";Vendida;"R$ 844.995,99";"R$ 337.998,40";"R$ 506.997,59"
2-SHINE;304-SHINE;"75,420 m²";"G45 Esp Coberta";HB36;"2D (2 S)";Vendida;"R$ 861.898,20";"R$ 344.759,28";"R$ 517.138,92"
2-SHINE;305-SHINE;"70,390 m²";"G78 Descoberta";HB76;"2D (1 S)";Bloqueada;"R$ 781.489,62";"R$ 312.595,85";"R$ 468.893,77"
2-SHINE;401-SHINE;"73,800 m²";"G61 Simples Coberta";HB06;"2D (1 S)";Vendida;"R$ 814.859,99";"R$ 325.944,00";"R$ 488.915,99"
2-SHINE;402-SHINE;"72,510 m²";"G68  Esp Coberta";HB63;"2D (2 S)";Vendida;"R$ 825.358,17";"R$ 330.143,27";"R$ 495.214,90"
2-SHINE;403-SHINE;"72,550 m²";"G55 Simples Coberta";HB45;"2D (1 S)";Vendida;"R$ 821.765,69";"R$ 328.706,28";"R$ 493.059,41"
2-SHINE;404-SHINE;"75,420 m²";"G75  Esp Coberta";HB62;"2D (2 S)";Vendida;"R$ 870.471,29";"R$ 348.188,52";"R$ 522.282,77"
2-SHINE;405-SHINE;"70,390 m²";"G83 Descoberta";HB70;"2D (1 S)";Bloqueada;"R$ 789.402,30";"R$ 315.760,92";"R$ 473.641,38"
2-SHINE;501-SHINE;"73,800 m²";"G26 Simples Coberta";HB01;"2D (1 S)";Vendida;"R$ 823.126,43";"R$ 329.250,57";"R$ 493.875,86"
2-SHINE;502-SHINE;"72,510 m²";"G72  Esp Coberta";HB60;"2D (2 S)";Vendida;"R$ 833.610,13";"R$ 333.444,05";"R$ 500.166,08"
2-SHINE;503-SHINE;"72,550 m²";"G73 Especial Coberta";HB61;"2D (1 S)";Vendida;"R$ 829.979,34";"R$ 331.991,74";"R$ 497.987,60"
2-SHINE;504-SHINE;"75,420 m²";"G62  Simples Coberta";HB53;"2D (2 S)";Vendida;"R$ 879.045,52";"R$ 351.618,21";"R$ 527.427,31"
2-SHINE;505-SHINE;"70,390 m²";"G31 Especial Cob";HB33;"2D (1 S)";Vendida;"R$ 805.260,84";"R$ 322.104,34";"R$ 483.156,50"
2-SHINE;601-SHINE;"73,800 m²";"G58 Simples Coberta";HB52;"2D (1 S)";Vendida;"R$ 911.048,92";"R$ 364.419,57";"R$ 546.629,35"
2-SHINE;602-SHINE;"72,510 m²";"G69  Esp Coberta";HB64;"2D (2 S)";Vendida;"R$ 895.124,07";"R$ 358.049,63";"R$ 537.074,44"
2-SHINE;603-SHINE;"72,550 m²";"G67/G67A Dupla Cob";HB59;"2D (1 S)";Vendida;"R$ 846.572,18";"R$ 338.628,87";"R$ 507.943,31"
2-SHINE;604-SHINE;"75,420 m²";"G89 Esp Semicoberta";HB81;"2D (2 S)";Vendida;"R$ 931.047,56";"R$ 372.419,02";"R$ 558.628,54"
2-SHINE;605-SHINE;"70,390 m²";"G37 Simples Coberta";HB28;"2D (1 S)";Disponível;"R$ 880.287,21";"R$ 352.114,88";"R$ 528.172,33"
2-SHINE;701-SHINE;"73,800 m²";"G70 Especial Coberta";HB65;"2D (1 S)";Vendida;"R$ 849.067,94";"R$ 339.627,18";"R$ 509.440,76"
2-SHINE;702-SHINE;"72,510 m²";"G43 Esp Coberta";HB41;"2D (2 S)";Vendida;"R$ 849.716,70";"R$ 339.886,68";"R$ 509.830,02"
2-SHINE;703-SHINE;"72,550 m²";"G94  Esp Descoberta";HB71;"2D (1 S)";Vendida;"R$ 837.026,48";"R$ 334.810,59";"R$ 502.215,89"
2-SHINE;704-SHINE;"75,420 m²";"G32  Esp Coberta";HB34;"2D (2 S)";Vendida;"R$ 895.774,90";"R$ 358.309,96";"R$ 537.464,94"
2-SHINE;705-SHINE;"70,390 m²";"G84 Simples Coberta";HB72;"2D (1 S)";Disponível;"R$ 914.289,70";"R$ 365.715,88";"R$ 548.573,82"
2-SHINE;801-SHINE;"158,150 m²";"G41/G81 E.Cob/S.Coberta";HB40;"3D (1 S)";Vendida;"R$ 2.239.955,89";"R$ 895.982,36";"R$ 1.343.973,53"
2-SHINE;802-SHINE;"176,270 m²";"G33/G36 Esp Cob/Cob";HB29;"3D (1 S)";Vendida;"R$ 2.481.985,12";"R$ 992.794,05";"R$ 1.489.191,07"
